GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_1039300.1	"U2 snRNP-associated SURP motif-containing protein, putative"	1983	660	78037
PBANKA_1234900.1	protein phosphatase PPM9	1992	663	78042
PBANKA_1120300.1	"conserved Plasmodium protein, unknown function"	1983	660	78111
PBANKA_1220200.1	"lysophospholipase, putative"	2100	699	78113
PBANKA_0103100.1	"conserved Plasmodium protein, unknown function"	1992	663	78183
PBANKA_0940600.1	"exonuclease, putative"	1971	656	78199
PBANKA_1139700.1	"conserved Plasmodium protein, unknown function"	2010	669	78205
PBANKA_1213600.1	"cysteine--tRNA ligase, putative"	2007	668	78377
PBANKA_0111200.1	"nucleolar GTP-binding protein 1, putative"	2034	677	78441
PBANKA_1139800.1	nuclear fusion protein	1980	659	78517
PBANKA_1028600.1	"conserved Plasmodium protein, unknown function"	2037	678	78557
PBANKA_0302100.1	"conserved Plasmodium protein, unknown function"	1968	655	78584
PBANKA_0931300.1	"dipeptidyl aminopeptidase 1, putative"	2046	681	78695
PBANKA_0807300.1	"conserved Plasmodium protein, unknown function"	1980	659	78727
PBANKA_0411100.1	"conserved Plasmodium protein, unknown function"	1986	661	78855
PBANKA_0719400.1	"LETM1-like protein, putative"	2004	667	78866
PBANKA_1241500.1	"conserved protein, unknown function"	1989	662	78879
PBANKA_0605500.1	"conserved Plasmodium protein, unknown function"	1989	662	78902
PBANKA_0205300.1	"conserved Plasmodium protein, unknown function"	1989	662	78903
PBANKA_1320400.1	"conserved Plasmodium protein, unknown function"	2085	694	78946
PBANKA_0414700.1	"zinc finger protein, putative"	2037	678	79002
PBANKA_0512200.1	"protoporphyrinogen oxidase, putative"	2019	672	79040
PBANKA_0310700.1	"conserved Plasmodium protein, unknown function"	2001	666	79056
PBANKA_0914700.1	"FHA domain-containing protein, putative"	1995	664	79068
PBANKA_1001500.1	"alpha/beta hydrolase, putative"	2076	691	79120
PBANKA_1406100.1	"DNA-directed RNA polymerase alpha chain, putative"	2010	669	79173
PBANKA_0615100.1	"queuine tRNA-ribosyltransferase, putative"	2052	683	79242
PBANKA_0519000.1	"S-antigen, putative"	2265	754	79299
PBANKA_1360000.1	"DNA topoisomerase 3, putative"	2028	675	79300
PBANKA_1328300.1	"ATP-dependent zinc metalloprotease FTSH, putative"	2112	703	79312
PBANKA_0711400.1	perforin-like protein 4	2049	682	79385
PBANKA_1347200.1	"nucleotidyltransferase, putative"	2031	676	79413
PBANKA_1115000.1	"conserved Plasmodium protein, unknown function"	2019	672	79449
PBANKA_0836200.1	"conserved Plasmodium protein, unknown function"	2097	698	79491
PBANKA_1127700.1	"nicotinate phosphoribosyltransferase, putative"	2070	689	79515
PBANKA_1006500.1	"tRNA N6-adenosine threonylcarbamoyltransferase, putative"	2055	684	79578
PBANKA_1407800.1	"U4/U6 small nuclear ribonucleoprotein PRP3, putative"	2040	679	79613
PBANKA_1109600.1	"conserved Plasmodium protein, unknown function"	2019	672	79690
PBANKA_1319000.1	"conserved Plasmodium protein, unknown function"	2109	702	79694
PBANKA_1129500.1	"bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, putative"	2013	670	79784
PBANKA_1426700.1	"hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase, putative"	2043	680	79791
PBANKA_1446800.1	"60 kDa chaperonin, putative"	2124	707	79831
PBANKA_0309700.1	"multidrug efflux pump, putative"	2037	678	79942
PBANKA_0306200.1	"phospholipase A2, putative"	2085	694	79952
PBANKA_1236800.1	"conserved Plasmodium protein, unknown function"	2073	690	80069
PBANKA_0517300.1	"WD repeat-containing protein 70, putative"	2073	690	80110
PBANKA_1239600.1	"ubiquitin fusion degradation protein 1, putative"	2052	683	80194
PBANKA_0711600.1	perforin-like protein 5	2064	687	80285
PBANKA_1014300.1	"autophagy protein 5, putative"	2025	674	80297
PBANKA_0511200.1	"U3 small nucleolar ribonucleoprotein protein MPP10, putative"	2034	677	80301
PBANKA_1332000.1	"splicing factor U2AF large subunit, putative"	2094	697	80314
PBANKA_0210700.1	"conserved Plasmodium protein, unknown function"	2040	679	80361
PBANKA_0203500.1	"selenocysteine-specific elongation factor selB homologue, putative"	2100	699	80389
PBANKA_1243600.1	"conserved Plasmodium protein, unknown function"	2112	703	80413
PBANKA_0311700.1	"rhoptry neck protein 6, putative"	2085	694	80463
PBANKA_1412500.1	"conserved Plasmodium protein, unknown function"	2058	685	80515
PBANKA_1245400.1	"conserved Plasmodium protein, unknown function"	2001	666	80525
PBANKA_1337800.1	palmitoyltransferase DHHC5	2028	675	80551
PBANKA_1316800.1	"dynactin subunit 4, putative"	2082	693	80578
PBANKA_0108700.1	"RNA-binding protein 25, putative"	2040	679	80593
PBANKA_0101600.1	"conserved Plasmodium protein, unknown function"	2025	674	80671
PBANKA_0810200.1	"conserved Plasmodium protein, unknown function"	2046	681	80679
PBANKA_0605400.1	"conserved Plasmodium protein, unknown function"	2034	677	80761
PBANKA_1118100.2	"phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1, putative"	2031	676	80794
PBANKA_0407500.1	"N2227-like protein, putative"	2073	690	80875
PBANKA_0611400.1	"pantothenate kinase, putative"	2064	687	80946
PBANKA_1238600.1	"transporter, putative"	2121	706	80951
PBANKA_1452500.1	"conserved Plasmodium protein, unknown function"	2169	722	81030
PBANKA_0410100.1	"E3 ubiquitin-protein ligase, putative"	2058	685	81073
PBANKA_0816300.1	"conserved Plasmodium protein, unknown function"	2064	687	81182
PBANKA_0210200.1	"aspartate--tRNA ligase, putative"	2061	686	81205
PBANKA_0621600.1	"conserved Plasmodium protein, unknown function"	2091	696	81229
PBANKA_1226200.1	"methionine aminopeptidase 1c, putative"	2043	680	81234
PBANKA_1344400.1	"AMP deaminase, putative"	2088	695	81240
PBANKA_1117300.1	"conserved Plasmodium protein, unknown function"	2046	681	81316
PBANKA_1406500.1	"conserved Plasmodium protein, unknown function"	2025	674	81377
PBANKA_0937500.1	"conserved Plasmodium protein, unknown function"	2076	691	81470
PBANKA_1230000.1	"GPI-anchored wall transfer protein 1, putative"	2040	679	81470
PBANKA_1230200.1	cdc2-related protein kinase 5	2139	712	81513
PBANKA_1101500.1	"anaphase-promoting complex subunit, putative"	2043	680	81718
PBANKA_1440800.1	"conserved Plasmodium protein, unknown function"	2070	689	81770
PBANKA_0409600.1	"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1, putative"	2040	679	81818
PBANKA_1313000.1	"transcription factor IIIb subunit, putative"	2166	721	81850
PBANKA_1349700.1	"conserved Plasmodium protein, unknown function"	2043	680	81937
PBANKA_1104000.1	"ATP-dependent helicase, putative"	2124	707	81978
PBANKA_0515300.1	"conserved Plasmodium protein, unknown function"	2076	691	81982
PBANKA_0816500.1	"conserved Plasmodium protein, unknown function"	2064	687	82013
PBANKA_0834600.1	"delta tubulin, putative"	2121	706	82016
PBANKA_0903400.1	"conserved protein, unknown function"	2106	701	82034
PBANKA_0103900.1	"RNA-binding protein, putative"	2208	735	82056
PBANKA_1016400.1	"major facilitator superfamily domain-containing protein, putative"	2091	696	82084
PBANKA_0908200.1	"conserved Plasmodium protein, unknown function"	2103	700	82126
PBANKA_0933000.1	"serine/threonine protein kinase, putative"	2121	706	82154
PBANKA_0313100.1	"vacuolar protein sorting-associated protein 45, putative"	2094	697	82335
PBANKA_1460500.1	"serine/threonine protein kinase, putative"	2133	710	82365
PBANKA_1141100.1	"conserved Plasmodium protein, unknown function"	2055	684	82367
PBANKA_1135400.1	"riboflavin kinase / FAD synthase family protein, putative"	2121	706	82379
PBANKA_1437100.1	"conserved Plasmodium protein, unknown function"	2097	698	82430
PBANKA_1131900.1	serine/threonine protein phosphatase 5	2136	711	82454
PBANKA_1337100.1	"splicing factor 1, putative"	2133	710	82539
PBANKA_0410500.1	"major facilitator superfamily-related transporter, putative"	2169	722	82602
PBANKA_0801100.1	"conserved Plasmodium protein, unknown function"	2061	686	82624
PBANKA_1302700.1	"conserved Plasmodium protein, unknown function"	2097	698	82644
PBANKA_0710300.1	"conserved Plasmodium protein, unknown function"	2118	705	82725
PBANKA_0507900.1	"conserved Plasmodium protein, unknown function"	2097	698	82738
PBANKA_1462500.1	leucine-rich repeat protein	2148	715	82807
PBANKA_1462600.1	"conserved Plasmodium protein, unknown function"	2214	737	82906
PBANKA_1444600.1	"conserved Plasmodium protein, unknown function"	2055	684	82916
PBANKA_0502600.1	"conserved Plasmodium protein, unknown function"	2148	715	82920
PBANKA_1127500.1	"glutamyl-tRNA(Gln) amidotransferase subunit B, putative"	2112	703	82936
PBANKA_1461900.1	"conserved Plasmodium protein, unknown function"	2070	689	82959
PBANKA_0925100.1	leucine-rich repeat protein	2169	722	83058
PBANKA_1003600.1	"apical sushi protein, putative"	2163	720	83103
PBANKA_0207300.1	"conserved Plasmodium protein, unknown function"	2094	697	83110
PBANKA_0414900.1	"dynein light intermediate chain 2, putative"	2142	713	83125
PBANKA_1332600.1	"conserved Plasmodium protein, unknown function"	2109	702	83155
PBANKA_0605100.1	"Tat binding protein 1(TBP-1)-interacting protein, putative"	2130	709	83207
PBANKA_0805700.1	"heat shock protein 90, putative"	2163	720	83212
PBANKA_1461500.1	"conserved Plasmodium protein, unknown function"	2115	704	83282
PBANKA_1214900.1	"conserved Plasmodium protein, unknown function"	2085	694	83332
PBANKA_1021700.1	"conserved Plasmodium protein, unknown function"	2076	691	83397
PBANKA_0833800.1	"mRNA processing protein, putative"	2178	725	83404
PBANKA_0304700.1	serine repeat antigen 5	2160	719	83433
PBANKA_0520100.1	"conserved Plasmodium protein, unknown function"	2133	710	83557
PBANKA_1216900.1	"ATP-dependent RNA helicase DDX42, putative"	2160	719	83604
PBANKA_0932500.1	"histone-lysine N-methyltransferase SET7, putative"	2121	706	83610
PBANKA_1357100.1	"conserved Plasmodium protein, unknown function, pseudogene"	2181	726	83629
PBANKA_1001400.1	"pre-mRNA-splicing factor CLF1, putative"	2052	683	83631
PBANKA_1203900.1	"peptidase, putative"	2100	699	83676
PBANKA_1441900.1	"ATP-dependent RNA helicase, putative"	2148	715	83708
PBANKA_1436500.1	"conserved Plasmodium protein, unknown function"	2133	710	83796
PBANKA_1120800.1	"signal recognition particle subunit SRP68, putative"	2112	703	83827
PBANKA_0941600.1	"conserved Plasmodium protein, unknown function"	2142	713	83881
PBANKA_0520000.1	"pyruvate kinase 2, putative"	2205	734	84063
PBANKA_1226300.1	"conserved Plasmodium protein, unknown function"	2121	706	84161
PBANKA_1232500.1	"eukaryotic translation initiation factor 3 subunit B, putative"	2151	716	84182
PBANKA_1306400.1	"geranylgeranyl transferase type-2 subunit alpha, putative"	2100	699	84242
PBANKA_1460000.1	"rac-beta serine/threonine protein kinase, putative"	2154	717	84275
PBANKA_0920300.1	"conserved Plasmodium protein, unknown function"	2109	702	84296
PBANKA_1203300.1	"methionine--tRNA ligase, putative"	2112	703	84296
PBANKA_0317181.1	PIR protein	2232	743	84487
PBANKA_1341300.1	"GTPase-activating protein, putative"	2130	709	84515
PBANKA_0933800.1	"conserved Plasmodium protein, unknown function"	2094	697	84570
PBANKA_1352200.1	"conserved Plasmodium protein, unknown function"	2130	709	84680
PBANKA_1240800.1	"RAP protein, putative"	2097	698	84686
PBANKA_0815300.1	"met-10+ like protein, putative"	2139	712	84732
PBANKA_1331700.1	"zinc finger protein, putative"	2226	741	84835
PBANKA_0916500.1	"conserved Plasmodium protein, unknown function"	2157	718	84954
PBANKA_1138500.1	"exonuclease, putative"	2142	713	85003
PBANKA_0509300.1	"glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative"	2274	757	85012
PBANKA_1356700.1	"kelch protein K13, putative"	2217	738	85048
PBANKA_1361500.1	"WD repeat-containing protein 16, putative"	2172	723	85052
PBANKA_1105000.1	"conserved Plasmodium protein, unknown function"	2112	703	85072
PBANKA_1113400.1	"secreted ookinete protein, putative"	2166	721	85114
PBANKA_0833900.1	"conserved Plasmodium protein, unknown function"	2151	716	85136
PBANKA_1358900.1	"dynactin subunit 2, putative"	2187	728	85235
PBANKA_1224100.1	"kinesin-like protein, putative"	2184	727	85257
PBANKA_0921600.1	"RNA-binding protein, putative"	2187	728	85275
PBANKA_1109800.1	"peptidyl-prolyl cis-trans isomerase, putative"	2208	735	85451
PBANKA_1435900.1	"conserved Plasmodium protein, unknown function"	2118	705	85506
PBANKA_0610200.1	"DNA replication licensing factor MCM5, putative"	2277	758	85547
PBANKA_1103200.1	"protein kinase, putative"	2169	722	85607
PBANKA_1443900.1	"conserved Plasmodium protein, unknown function"	2190	729	85726
PBANKA_1137100.1	"protein arginine N-methyltransferase 5, putative"	2202	733	85796
PBANKA_0520400.1	"dynamin-like protein, putative"	2250	749	85807
PBANKA_1417600.1	"conserved protein, unknown function"	2211	736	85815
PBANKA_0211600.1	"conserved Plasmodium protein, unknown function"	2163	720	85847
PBANKA_1032300.1	"cytidine triphosphate synthetase, putative"	2271	756	85871
PBANKA_1421900.1	"GTP-binding translation elongation factor, putative"	2271	756	85884
PBANKA_0708000.1	"protein transport protein SEC23, putative"	2280	759	86136
PBANKA_1437000.1	"conserved Plasmodium protein, unknown function"	2193	730	86173
PBANKA_0311800.1	"acyl-CoA synthetase, putative"	2262	753	86205
PBANKA_0918200.1	"phosphoacetylglucosamine mutase, putative"	2214	737	86305
PBANKA_0810100.1	"conserved Plasmodium protein, unknown function"	2142	713	86348
PBANKA_0403800.1	"conserved Plasmodium membrane protein, unknown function"	2208	735	86379
PBANKA_0710000.1	"conserved Plasmodium protein, unknown function"	2145	714	86396
PBANKA_0911000.1	"calcium-binding protein, putative"	2178	725	86396
PBANKA_0924700.1	"RAP protein, putative"	2193	730	86548
PBANKA_1208300.1	"conserved Plasmodium protein, unknown function"	2196	731	86625
PBANKA_1432100.1	"conserved Plasmodium protein, unknown function"	2199	732	86626
PBANKA_0720000.1	"conserved Plasmodium protein, unknown function"	2184	727	86628
PBANKA_1202700.1	"RNA-binding protein, putative"	2148	715	86672
PBANKA_1128100.1	phospholipase	2256	751	86740
PBANKA_0111900.1	"conserved Plasmodium protein, unknown function"	2169	722	86770
PBANKA_0713700.1	"tRNA modification GTPase, putative"	2208	735	86811
PBANKA_1222000.1	"histone deacetylase complex subunit SAP18, putative"	2184	727	86955
PBANKA_0600041.1	PIR protein	2289	762	86985
PBANKA_1453300.1	"acyl-CoA synthetase, putative"	2265	754	87002
PBANKA_1004100.1	"NYN domain-containing protein, putative"	2232	743	87035
PBANKA_1013000.1	"inner membrane complex suture component, putative"	2211	736	87155
PBANKA_1322500.1	"DNA-directed RNA polymerase III subunit RPC5, putative"	2220	739	87158
PBANKA_1462200.1	protein phosphatase PPM4	2265	754	87301
PBANKA_0410800.1	"ubiquitin-protein ligase, putative"	2202	733	87353
PBANKA_0941300.1	translocon component PTEX88	2241	746	87385
PBANKA_1365400.1	"vacuolar fusion protein MON1, putative"	2250	749	87392
PBANKA_1417700.1	"conserved Plasmodium protein, unknown function"	2211	736	87395
PBANKA_0308500.1	"tyrosine kinase-like protein, putative"	2211	736	87407
PBANKA_0106200.1	spindle assembly abnormal protein 6	2259	752	87412
PBANKA_0209800.1	"conserved Plasmodium protein, unknown function"	2229	742	87535
PBANKA_0600031.1	PIR protein	2310	769	87640
PBANKA_0938800.1	"conserved Plasmodium protein, unknown function"	2220	739	87726
PBANKA_1018800.1	"conserved Plasmodium protein, unknown function"	2232	743	87772
PBANKA_1118800.1	"conserved Plasmodium protein, unknown function"	2193	730	87791
PBANKA_1330900.1	"conserved Plasmodium protein, unknown function"	2247	748	87890
PBANKA_0513300.1	"conserved Plasmodium protein, unknown function"	2229	742	87910
PBANKA_1309000.1	"ATP-dependent RNA helicase MAK5, putative"	2259	752	87927
PBANKA_0934100.1	"GTP-binding protein, putative"	2262	753	87952
PBANKA_0916400.1	"ubiquitin-like protein, putative"	2328	775	87968
PBANKA_0706300.1	"GTP-binding protein, putative"	2253	750	88035
PBANKA_0824100.1	"nitric oxide synthase, putative"	2256	751	88037
PBANKA_1319700.1	"transcription factor with AP2 domain(s), putative"	2223	740	88039
PBANKA_0401600.1	"N-ethylmaleimide-sensitive fusion protein, putative"	2334	777	88120
PBANKA_1418600.1	"conserved Plasmodium protein, unknown function"	2244	747	88127
PBANKA_1429600.1	proline--tRNA ligase	2268	755	88154
PBANKA_1139500.1	"conserved Plasmodium protein, unknown function"	2235	744	88211
PBANKA_0910800.1	"conserved Plasmodium protein, unknown function"	2229	742	88282
PBANKA_1122000.1	"nuclear polyadenylated RNA-binding protein NAB2, putative"	2298	765	88284
PBANKA_1113900.1	"conserved Plasmodium protein, unknown function"	2232	743	88340
PBANKA_1434500.1	"conserved Plasmodium protein, unknown function"	2259	752	88439
PBANKA_1037200.1	"conserved Plasmodium protein, unknown function"	2202	733	88449
PBANKA_1404000.1	"mitogen-activated protein kinase phosphatase 1, putative"	2259	752	88552
PBANKA_0314900.1	"conserved Plasmodium protein, unknown function"	2295	764	88564
PBANKA_0719700.1	"conserved Plasmodium protein, unknown function"	2268	755	88621
PBANKA_0801500.1	"conserved Plasmodium protein, unknown function"	2238	745	88717
PBANKA_1447700.1	"elongation factor G, putative"	2334	777	88732
PBANKA_1210400.1	"E3 ubiquitin-protein ligase, putative"	2268	755	88788
PBANKA_0932000.1	rhoptry neck protein 4	2361	786	88828
PBANKA_1232300.1	"UTP--glucose-1-phosphate uridylyltransferase, putative"	2289	762	88900
PBANKA_1134400.1	"conserved Plasmodium protein, unknown function"	2232	743	89028
